DateOfMatch,Penalty1,Penalty2,Penalty3,Penalty4,Penalty5,Penalty6,Penalty7,Penalty8,MatchID,PenaltiesID
30/11/2012,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,1000,1777
08/12/2012,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,1000,1778
16/12/2012,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1779
23/12/2012,Rob Miller,Rob Miller,NULL,NULL,NULL,NULL,NULL,NULL,1000,1780
28/12/2012,Danny Cipriani,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,1000,1781
06/01/2013,Danny Cipriani,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,1000,1782
11/01/2013,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,1000,1783
19/01/2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1784
26/01/2013,Danny Cipriani,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,1000,1785
10/03/2013,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,1000,1786
17/03/2013,Danny Cipriani,Danny Cipriani,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,1000,1787
02/02/2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1788
08/02/2013,Rob Miller,Danny Cipriani,NULL,NULL,NULL,NULL,NULL,NULL,1000,1789
17/02/2013,Danny Cipriani,Danny Cipriani,Danny Cipriani,Nick Macleod,NULL,NULL,NULL,NULL,1000,1790
22/02/2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1791
02/03/2013,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1792
22/03/2013,Nick Macleod,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,1000,1793
31/03/2013,Nick Macleod,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,1000,1794
12/04/2013,Nick Macleod,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1795
20/04/2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1000,1796
04/05/2013,Nick Macleod,Nick Macleod,Nick Macleod,NULL,NULL,NULL,NULL,NULL,1000,1797
