ScoresID,DateOfMatch,HomeTeam,HomeScore,AwayTeam,AwayScore,Result,Competition,MatchID
1716,06/02/2004,1,3,4,3,D,1,NULL
1717,14/02/2004,6,38,1,12,L,1,NULL
1718,21/02/2004,11,51,1,12,L,1,NULL
1719,26/03/2004,1,38,6,20,W,1,NULL
1720,03/04/2004,5,16,1,12,L,1,NULL
1721,23/04/2004,1,41,8,16,W,1,NULL
1722,02/05/2004,2,39,1,23,L,1,NULL
1723,08/05/2004,9,20,1,31,W,1,NULL
1724,05/09/2004,1,26,4,19,W,1,NULL
1725,11/09/2004,3,30,1,33,W,1,NULL
1726,17/09/2004,1,25,2,15,W,1,NULL
1727,24/09/2004,1,57,10,3,W,1,NULL
1728,03/10/2004,9,11,1,14,W,1,NULL
1729,08/10/2004,1,16,7,17,L,1,NULL
1730,16/10/2004,11,6,1,23,W,1,NULL
1731,05/11/2004,1,39,8,25,W,1,NULL
1732,13/11/2004,5,27,1,13,L,1,NULL
1733,19/11/2004,1,13,24,19,L,1,NULL
1734,26/11/2004,6,24,1,14,L,1,NULL
1735,27/12/2004,1,19,5,10,W,1,NULL
1736,02/01/2005,8,30,1,29,L,1,NULL
1737,29/01/2005,1,37,11,24,W,1,NULL
1738,06/02/2005,7,6,1,9,W,1,NULL
1739,18/02/2005,1,19,9,10,W,1,NULL
1740,25/02/2005,10,23,1,10,L,1,NULL
1741,13/03/2005,2,32,1,19,L,1,NULL
1742,25/03/2005,1,25,3,27,L,1,NULL
1743,09/04/2005,4,45,1,15,L,1,NULL
1744,15/04/2005,1,35,6,17,W,1,NULL
1745,30/04/2005,24,22,1,23,W,1,NULL
1746,07/05/2005,3,43,1,22,L,1,NULL
1388,02/09/2005,1,26,8,25,W,1,1471
1389,10/09/2005,6,21,1,18,L,1,1472
1390,16/09/2005,1,29,7,3,W,1,1473
1391,25/09/2005,2,32,1,40,W,1,1474
1392,02/10/2005,8,34,1,9,L,3,2497
1393,07/10/2005,1,45,9,10,W,3,2498
1394,14/10/2005,1,18,3,10,W,1,1475
1395,21/10/2005,1,27,26,13,W,2,2500
1396,28/10/2005,21,11,1,38,W,2,2501
1397,05/11/2005,9,11,1,17,W,1,1476
1398,11/11/2005,1,24,10,13,W,1,1477
1399,18/11/2005,1,24,4,16,W,1,1478
1400,27/11/2005,12,22,1,14,L,1,1479
1401,02/12/2005,38,24,1,23,L,3,2499
1402,09/12/2005,72,16,1,20,W,2,2502
1403,16/12/2005,1,35,72,3,W,2,2503
1404,26/12/2005,1,34,11,14,W,1,1480
1405,02/01/2006,5,9,1,21,W,1,1481
1406,08/01/2006,1,31,12,29,W,1,1484
1407,15/01/2006,1,30,21,10,W,2,2504
1408,21/01/2006,26,31,1,9,L,2,2505
1409,28/01/2006,4,27,1,27,D,1,1486
1410,11/02/2006,10,33,1,48,W,1,1487
1411,17/02/2006,1,35,9,24,W,1,1488
1412,26/02/2006,3,26,1,16,L,1,1489
1413,10/03/2006,1,9,2,15,L,1,1490
1414,25/03/2006,7,21,1,29,W,1,1491
1415,02/04/2006,40,11,1,6,L,2,2506
1416,08/04/2006,1,18,6,15,W,1,1492
1417,16/04/2006,8,32,1,21,L,1,1493
1418,28/04/2006,1,38,5,12,W,1,1494
1419,06/05/2006,11,34,1,36,W,1,1495
1420,14/05/2006,1,22,3,12,W,1,1496
1421,27/05/2006,4,20,1,45,W,1,1497
