DateOfMatch,Attendance,MatchesID,AttendanceID
04/11/2016,6668,1088,3071
11/11/2016,7350,1089,3072
20/11/2016,8828,1068,3073
27/11/2016,12329,1069,3074
02/12/2016,4479,1070,3075
10/12/2016,8746,1084,3076
18/12/2016,6158,1085,3322
23/12/2016,14108,1071,3078
01/01/2017,6168,1072,3079
07/01/2017,14148,1073,3080
15/01/2017,12315,1086,3081
21/01/2017,4275,1087,3082
27/01/2017,3498,1090,3083
03/02/2017,6842,1091,3084
10/02/2017,4299,1074,3085
19/02/2017,5313,1075,3086
25/02/2017,9609,1076,3087
03/03/2017,5233,1077,3088
25/03/2017,10924,1078,3089
07/04/2017,5966,1079,3090
15/04/2017,12928,1080,3091
29/04/2017,23940,1081,3092
06/05/2017,8306,1082,3093
02/09/2017,12018,1092,3094
08/09/2017,4510,1093,3095
15/09/2017,4572,1094,3096
23/09/2017,9243,1037,3097
29/09/2017,5123,1038,3098
06/10/2017,14128,1039,3099
13/10/2017,5474,1043,3100
20/10/2017,12863,1098,3101
27/10/2017,6490,1095,3102
03/11/2017,6081,1099,3103
10/11/2017,4273,1044,3104
19/11/2017,20056,1096,3105
25/11/2017,5132,1097,3106
01/12/2017,7327,1040,3107
09/12/2017,5494,1045,3108
17/12/2017,4974,1100,3109
23/12/2017,6426,1041,3110
30/12/2017,16115,1042,3111
06/01/2018,7242,1448,3112
13/01/2018,3259,1449,3113
20/01/2018,9462,1450,3114
27/01/2018,2500,1451,3115
02/02/2018,3021,1452,3116
10/02/2018,4497,1453,3117
16/02/2018,6662,1454,3118
24/02/2018,13843,1455,3119
03/03/2018,8403,1456,3120
24/03/2018,5991,1457,3121
06/04/2018,6817,1458,3122
13/04/2018,7021,1459,3123
28/04/2018,12754,1460,3124
05/05/2018,10050,1461,3125
01/09/2018,11463,1462,3050
09/09/2018,7145,1463,3051
15/09/2018,9073,1024,3052
22/09/2018,6340,1025,3214
30/09/2018,18652,1026,3215
06/10/2018,5586,1027,3216
12/10/2018,8038,1464,3055
20/10/2018,4249,1031,3056
26/10/2018,6606,1034,3059
02/11/2018,4687,1035,3060
