MatchID,DateOfMatch,Fullback,RightWinger,OutsideCentre,InsideCentre,LeftWinger,FlyHalf,ScrumHalf,LooseHeadProp,Hooker,TightHeadProp,SecondRow4,SecondRow5,BlindSideFlanker,OpensideFlanker,Number8,Replacement1,Replacement2,Replacement3,Replacement4,Replacement5,Replacement6,Replacement7,Replacement8,MatchesID
134,27/10/2017,Will Addison ,Denny Solomona,Sam James,Mark Jennings,Byron McGuigan,James O'Connor,Faf de Klerk,Ross Harrison,Rob Webber,Willgriff John,Bryn Evans,Andrei Ostrikov,Jono Ross,Tom Curry,Josh Strauss,Marc Jones,James Flynn,Halani Aulika,George Nott,TJ Ioane,Cameron Neild,Will Cliff,Mike Haley,1095
152,03/11/2017,James O'Connor,Denny Solomona,Sam James,Rohan Janse Van Rensburg,Byron McGuigan,AJ MacGinty,Faf de Klerk,Ross Harrison,Rob Webber,Willgriff John,Bryn Evans,Andrei Ostrikov,Jono Ross,Ben Curry,Josh Strauss,Cameron Neild,James Flynn,Halani Aulika,George Nott,TJ Ioane,Will Cliff,Mark Jennings,Mike Haley,1099
74,10/11/2017,Mike Haley,Byron McGuigan,Luke James,Cameron Redpath,Arron Reed,AJ MacGinty,Will Cliff,James Flynn,Curtis Langdon,Alexandru Tarus,George Nott,Matt Postlethwaite,Sam Moore,Ben Curry,Josh Strauss,Marc Jones,Jake Pope,Willgriff John,David Seymour,Nic Dolly,Matt Sturges,Kieran Wilkinson,Connor Doherty,1044
135,19/11/2017,Mike Haley,Denny Solomona,Sam James,Mark Jennings,Marland Yarde,James O'Connor,Faf de Klerk,Ross Harrison,Rob Webber,Willgriff John,Bryn Evans,Andrei Ostrikov,Jono Ross ,Ben Curry,Josh Strauss,Marc Jones,James Flynn,Alexandru Tarus,George Nott,Cameron Neild,Sam Moore,Will Cliff,Josh Charnley,1096
136,25/11/2017,Mike Haley,Denny Solomona,Sam James,Mark Jennings,Marland Yarde,James O'Connor,Faf de Klerk,Ross Harrison,Rob Webber,Willgriff John,Bryn Evans,Andrei Ostrikov,Jono Ross ,Ben Curry,Josh Strauss,Marc Jones,James Flynn,Halani Aulika,George Nott,Cameron Neild,Rohan Janse van Rensburg,Will Cliff,Josh Charnley,1097
58,01/12/2017,James O'Connor,Denny Solomona,Sam James,Rohan Janse van Rensburg,Byron McGuigan,AJ MacGinty,Faf de Klerk,Ross Harrison,Rob Webber,Willgriff John,Bryn Evans,Andrei Ostrikov,Jono Ross ,Ben Curry,Josh Strauss,Cameron Neild,James Flynn,Halani Aulika,George Nott,TJ Ioane,Will Cliff,Mark Jennings,Mike Haley,1040
75,09/12/2017,Mike Haley,Denny Solomona,Mark Jennings,Rohan Janse Van Rensburg,Josh Charnley,AJ MacGinty,Will Cliff,Ross Harrison,Marc Jones,Willgriff John,George Nott,Andrei Ostrikov,Cameron Neild,Ben Curry,Jono Ross,Rob Webber,James Flynn,Alexandru Tarus,Matt Postlethwaite,David Seymour,Faf de Klerk,Sam James,James O'Connor,1045
155,17/12/2017,Mike Haley,Paolo Odogwu,Denny Solomona,Rohan Janse van Rensburg,Josh Charnley,Sam James,Will Cliff,James Flynn,Marc Jones,Halani Aulika,George Nott,Bryn Evans,Cameron Neild,TJ Ioane,Josh Strauss,Rob Webber,Ross Harrison,Alexandru Tarus,Matt Postlethwaite,Ben Curry,Matt Sturges,Luke James,Arron Reed,1100
59,23/12/2017,James O'Connor,Denny Solomona,Sam James,Rohan Janse van Rensburg,Byron McGuigan,AJ MacGinty,Faf de Klerk,Ross Harrison,Rob Webber,Willgriff John,Bryn Evans,Andrei Ostrikov,Jono Ross ,Ben Curry,Josh Strauss,Marc Jones,James Flynn,Halani Aulika,George Nott,Cameron Neild,Will Cliff,Mike Haley,Josh Charnley,1041
60,30/12/2017,James O'Connor,Denny Solomona,Sam James,Rohan Janse van Rensburg,Byron McGuigan,AJ MacGinty,Faf de Klerk,Ross Harrison,Rob Webber,Willgriff John,Bryn Evans,Andrei Ostrikov,Jono Ross ,Ben Curry,Josh Strauss,Marc Jones,James Flynn,Halani Aulika,George Nott,Cameron Neild,Will Cliff,Mike Haley,Will Addison,1042
