DateOfMatch,Try1,Try2,Try3,Try4,Try5,Try6,Try7,Try8,Try9,Try10,Try11,Try12,Try13,Try14,Try15,MatchID,TryID
15/02/2015,Tommy Taylor,Mike Haley,Tom Arscott,Tom Arscott,Tommy Taylor,Will Addison,Will Addison,Mark Cueto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1306,2332
21/02/2015,Sam Tuitupou,Jonathan Mills,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1307,2333
28/02/2015,Tom Arscott,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1308,2334
06/03/2015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1309,2335
29/03/2015,Johnny Leota,Josh Beaumont,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1310,2336
12/04/2015,Tom Arscott,Tom Arscott,Mike Haley,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1311,2337
25/04/2015,Tom Arscott,Tom Arscott,Mark Cueto,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1312,2338
09/05/2015,Chris Cusiter,Sam Tuitupou,Mark Cueto,David Seymour,TJ Ioane,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1313,2339
16/05/2015,Josh Beaumont,Josh Beaumont,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1314,2340
05/10/2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1143,2341
26/10/2014,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1155,2342
10/01/2015,Eifion Lewis-Roberts,Dan Braid, , , , , , , , , , , , , ,1445,2343
17/01/2015,Penalty, , , , , , , , , , , , , , ,1446,2344
25/01/2015,Tom Arscott, , , , , , , , , , , , , , ,1447,2345
26/10/2019,Akker van der Merwe,Denny Solomona,Marland Yarde,Josh Beaumont,Rob du Preez,Rohan Janse van Rensburg, , , , , , , , , ,1465,2346
02/09/2005,Mark Cueto,Charlie Hodgson, , , , , , , , , , , , , ,1471,2347
10/09/2005,Mark Cueto,Sebastien Chabal, , , , , , , , , , , , , ,1472,2348
16/09/2005,Mark Cueto,Sebastien Chabal,Daniel Larrechea,Jason Robinson, , , , , , , , , , , ,1473,2349
25/09/2005,Mark Cueto,Sebastien Chabal,Elvis Seveali'i,Elvis Seveali'i, , , , , , , , , , , ,1474,2350
14/10/2005, , , , , , , , , , , , , , , ,1475,2351
05/11/2005,Valentin Courrent, , , , , , , , , , , , , , ,1476,2352
11/11/2005,Jason Robinson,Jason Robinson, , , , , , , , , , , , , ,1477,2353
18/11/2005,Magnus Lund,Mark Taylor, , , , , , , , , , , , , ,1478,2354
27/11/2005,Sililo Martens,Dean Schofield, , , , , , , , , , , , , ,1479,2355
26/12/2005,Sebastien Bruno,Ignacio Fernandez Lobbe,Chris Mayor, , , , , , , , , , , , ,1480,2356
02/01/2006,Magnus Lund,Elvis Seveali'i, , , , , , , , , , , , , ,1481,2357
08/01/2006,Sililo Martens, , , , , , , , , , , , , , ,1484,2358
28/01/2006,Chris Jones,Dean Schofield, , , , , , , , , , , , , ,1486,2360
11/02/2006,Valentin Courrent,Steve Hanley,Oriol Ripol Fortuny,Sililo Martens,Dean Schofield,Andy Titterrell, , , , , , , , , ,1487,2361
17/02/2006,Magnus Lund,Chris Mayor,Chris Mayor,Richard Wigglesworth, , , , , , , , , , , ,1488,2362
26/02/2006,Robert Todd, , , , , , , , , , , , , , ,1489,2363
10/03/2006, , , , , , , , , , , , , , , ,1490,2364
25/03/2006,Steve Hanley,Steve Hanley,Andy Titterrell, , , , , , , , , , , , ,1491,2365
08/04/2006, , , , , , , , , , , , , , , ,1492,2366
16/04/2006,Ignacio Fernandez Lobbe,Oriol Ripol Fortuny, , , , , , , , , , , , , ,1493,2367
28/04/2006,Mark Cueto,Charlie Hodgson,Chris Jones,Chris Mayor, , , , , , , , , , , ,1494,2368
06/05/2006,Valentin Courrent,Ignacio Fernandez Lobbe,Ben Foden,Steve Hanley,Oriol Ripol Fortuny, , , , , , , , , , ,1495,2369
14/05/2006,Jason Robinson, , , , , , , , , , , , , , ,1496,2370
27/05/2006,Mark Cueto,Magnus Lund,Chris Mayor,Oriol Ripol Fortuny, , , , , , , , , , , ,1497,2371
02/10/2005, , , , , , , , , , , , , , , ,2497,3371
07/10/2005,Robert Todd,Oriol Ripol Fortuny,Oriol Ripol Fortuny,Oriol Ripol Fortuny,Lionel Faure,Sebastian Bruno,Steve Hanley, , , , , , , , ,2498,3372
02/12/2005,Chris Mayor,Elvis Seveali'i, , , , , , , , , , , , , ,2499,3373
21/10/2005,Sililo Martens,Jason Robinson, , , , , , , , , , , , , ,2500,3374
28/10/2005,Charlie Hodgson,Mark Cueto,Ignacio Fernandez Lobbe,Elvis Seveali'i, , , , , , , , , , , ,2501,3375
09/12/2005,Jason Robinson,Jason White, , , , , , , , , , , , , ,2502,3376
16/12/2005,Sebastien Chabal,Sebastien Chabal,Jason Robinson,Robert Todd, , , , , , , , , , , ,2503,3377
15/01/2006,Sebastien Chabal,Mark Cueto,Mark Cueto,Charlie Hodgson, , , , , , , , , , , ,2504,3378
21/01/2006, , , , , , , , , , , , , , , ,2505,3379
02/04/2006, , , , , , , , , , , , , , , ,2506,3380
07/09/2008,Charlie Hodgson, , , , , , , , , , , , , , ,2507,3381
12/09/2008, , , , , , , , , , , , , , , ,2508,3382
19/09/2008, , , , , , , , , , , , , , , ,2509,3383
26/09/2008,Sebastien Chabal,David Doherty, , , , , , , , , , , , , ,2512,3386
01/10/2008, , , , , , , , , , , , , , , ,2513,3387
14/11/2008, , , , , , , , , , , , , , , ,2514,3388
23/11/2008,Mark Cueto, , , , , , , , , , , , , , ,2515,3389
28/11/2008,Mark Cueto,Mathew Tait,Rory Lamont, , , , , , , , , , , , ,2516,3390
20/12/2008,Mark Cueto,Luke McAlister,Mark Cueto, , , , , , , , , , , , ,2517,3391
14/08/2020,Byron McGuigan, , , , , , , , , , , , , , ,3509,4383
21/08/2020,Tom Curry,Rob Du Preez,Denny Solomona, , , , , , , , , , , , ,3510,4384
25/08/2020,Luke James, , , , , , , , , , , , , , ,3511,4385
29/08/2020,Luke James,Denny Solomona,Faf de Klerk,Sam James,Luke James,Marland Yarde, , , , , , , , , ,NULL,4386
26/12/2008,Juan Martin Fernandez Lobbe,Juan Martin Fernandez Lobbe,Mark Cueto,Charlie Hodgson, , , , , , , , , , , ,2518,4388
09/01/2009,Mark Cueto, , , , , , , , , , , , , , ,2519,4389
03/01/2009,Dean Schofield,Dean Schofield,Lee Thomas, , , , , , , , , , , , ,2523,4390
03/08/2009,Neil Briggs, , , , , , , , , , , , , , ,2524,4391
04/04/2009,Mark Cueto,Mark Cueto,Neil Briggs, , , , , , , , , , , , ,2528,4392
31/01/2009,Chris Jones,Oriol Ripol Fortuny,Neil Briggs,Chris Bell, , , , , , , , , , , ,2520,4396
14/02/2009,Lee Thomas,Charlie Hodgson, , , , , , , , , , , , , ,2521,4397
20/02/2009,Eifion Lewis-Roberts,Juan Martin Fernandez Lobbe,Nick Macleod,Neil Briggs, , , , , , , , , , , ,2522,4398
01/03/2009,Dean Schofield,Dean Schofield,Lee Thomas, , , , , , , , , , , , ,2523,4399
08/03/2009,Neil Briggs, , , , , , , , , , , , , , ,2524,4400
14/03/2009, , , , , , , , , , , , , , , ,2525,4401
22/03/2009,Charlie Hodgson, , , , , , , , , , , , , , ,2526,4402
27/03/2009,Mark Cueto,Charlie Hodgson,Juan Martin Fernandez Lobbe, , , , , , , , , , , , ,2527,4403
17/04/2009,Juan Martin Fernandez Lobbe,Mark Cueto,Charlie Hodgson, , , , , , , , , , , , ,2529,4405
25/04/2009,Juan Martin Fernandez Lobbe,Eifion Lewis-Roberts,Dean Schofield,Mathew Tait, , , , , , , , , , , ,2530,4406
24/08/1997,David Erskine, , , , , , , , , , , , , , ,2531,4407
30/08/1997,Kevin Ellis,Chris Yates, , , , , , , , , , , , , ,NULL,4408
18/10/1997,Matt Moore,Richard Smith, , , , , , , , , , , , , ,NULL,4409
25/10/1997,Pat Sanderson,Tom Beim,Matt Moore,Kevin Ellis,Chris Yates, , , , , , , , , , ,NULL,4410
02/11/1997,Simon Mannix,David Rees,David Rees,Pat Sanderson, , , , , , , , , , , ,NULL,4411
09/11/1997,Tom Beim,Tom Beim,Tom Beim,Tom Beim,Kevin Ellis,Jim Mallinder,David Rees,David Rees,David Rees,Pat Sanderson,Phil Winstanley,Phil Winstanley, , , ,NULL,4412
13/12/1997,Shane Howarth,Simon Raiwalui, , , , , , , , , , , , , ,NULL,4413
27/12/1997,Tom Beim, , , , , , , , , , , , , , ,NULL,4414
30/12/1997,Jos Baxendell,Kevin Ellis, , , , , , , , , , , , , ,NULL,4415
10/01/1998,Tom Beim,Tom Beim, , , , , , , , , , , , , ,NULL,4416
01/02/1998,Duncan Bell,Kevin Ellis,Pat Sanderson,Pat Sanderson,Chris Yates, , , , , , , , , , ,NULL,4417
15/02/1998,Jos Baxendell,Jim Mallinder,Dion O'Cuinneagain, , , , , , , , , , , , ,NULL,4418
24/02/1998,Tom Beim,Tom Beim, , , , , , , , , , , , , ,NULL,4419
10/03/1998,Tom Beim,David Erskine, , , , , , , , , , , , , ,NULL,4420
14/03/1998,Duncan Bell,Dion O'Cuinneagain, ,Phil Winstanley, , , , , , , , , , , ,NULL,4421
11/04/1998,Jos Baxendell,Kevin Ellis,Tom Beim,Matt Moore,Matt Moore, , , , , , , , , , ,NULL,4422
15/04/1998,Pete Anglesea,Jos Baxendell,Simon Raiwalui, , , , , , , , , , , , ,NULL,4423
18/04/1998,Matt Moore, , , , , , , , , , , , , , ,NULL,4424
25/04/1998,Jos Baxendell,Matt Moore,Richard Smith,Pat Sanderson, , , , , , , , , , , ,NULL,4425
02/05/1998,Tom Beim,David Erskine,Shane Howarth, , , , , , , , , , , , ,NULL,4426
10/05/1998,Jim Mallinder,Chris Murphy,Shane Howarth, , , , , , , , , , , , ,NULL,4427
17/05/1998,Tom Beim,Shane Howarth, , , , , , , , , , , , , ,NULL,4428
05/09/1998,Matt Moore,Richard Smith,Richard Smith, , , , , , , , , , , , ,NULL,4429
12/09/1998,Jan Machacek,Matt Moore,Chris Yates,Tom Beim,Matt Moore, , , , , , , , , , ,NULL,4430
20/09/1998,Tom Beim,Jan Machacek,Richard Smith,Matt Moore, , , , , , , , , , , ,NULL,4431
26/09/1998,Tom Beim,Phil Winstanley,Richard Smith,Chris Yates, , , , , , , , , , , ,NULL,4432
03/10/1998,Shane Howarth,Tom Beim, , , , , , , , , , , , , ,NULL,4433
17/10/1998,Shane Howarth,Richard Smith, , , , , , , , , , , , , ,NULL,4434
24/10/1998, , , , , , , , , , , , , , , ,NULL,4435
28/10/1998,Pat Sanderson, , , , , , , , , , , , , , ,NULL,4436
07/11/1998,Tom Beim,Dion O'Cuinneagain,Penalty Try, , , , , , , , , , , , ,NULL,4437
13/11/1998,Dave Baldwin,Steve Davidson,Kevin Ellis,Kevin Ellis,Penalty Try, , , , , , , , , , ,NULL,4438
22/11/1998,Steve Davidson,Steve Davidson,Chris Yates, , , , , , , , , , , , ,NULL,4439
12/12/1998,Steve Hanley,Shane Howarth,Steve Hanley,Jim Mallinder, , , , , , , , , , , ,NULL,4440
20/12/1998,Steve Hanley,Shane Howarth, , , , , , , , , , , , , ,NULL,4441
27/12/1998,Steve Hanley,Chris Yates, , , , , , , , , , , , , ,NULL,4442
02/01/1999,Steve Hanley,Steve Hanley,Jan Machacek,Matt Moore, , , , , , , , , , , ,NULL,4443
05/01/1999,Steve Hanley,Matt Moore,Matt Moore,Alex Sanderson, , , , , , , , , , , ,NULL,4444
09/01/1999, , , , , , , , , , , , , , , ,NULL,4445
23/01/1999,Steve Davidson,Steve Hanley,Dion O'Cuinneagain, , , , , , , , , , , , ,NULL,4446
06/02/1999,Barrie-Jon Mather, , , , , , , , , , , , , , ,NULL,4447
14/02/1999,Steve Hanley,Barrie-Jon Mather,Steve Hanley,Shane Howarth, , , , , , , , , , , ,NULL,4448
27/02/1999,Steve Hanley,Steve Hanley, , , , , , , , , , , , , ,NULL,4449
13/03/1999,Jos Baxendell,Simon Raiwalui,Chris Yates, , , , , , , , , , , , ,NULL,4450
28/03/1999,Jos Baxendell,Matt Moore,Dion O'Cuinneagain, , , , , , , , , , , , ,NULL,4451
03/04/1999,Kevin Ellis,Shane Howarth,Phil Greening, , , , , , , , , , , , ,NULL,4452
24/04/1999,Jos Baxendell,Barrie-Jon Mather,Shane Howarth, , , , , , , , , , , , ,NULL,4453
01/05/1999,Shane Howarth,Shane Howarth,Matt Moore,Richard Smith, , , , , , , , , , , ,NULL,4454
08/05/1999,Matt Moore,Barrie-Jon Mather, , , , , , , , , , , , , ,NULL,4455
05/09/2020,AJáMacGinty,Jono Ross,Denny Solomona,Manu Tuilagi, , , , , , , , , , , ,NULL,4456
09/09/2020,Simon Hammersley,Valery Morozov,Matt Postlethwaite, , , , , , , , , , , , ,NULL,4457
13/09/2020,Dan du Preez,Jean Luc du Preez,Rohan van Rensburg, , , , , , , , , , , , ,NULL,4458
29/09/2020,Simon Hammersley,Luke James,Luke James,Rohan van Rensburg,Valery Morozov,Penalty, , , , , , , , , ,NULL,4459
07/10/2020, , , , , , , , , , , , , , , ,NULL,4460
11/09/1999,Janneman Brand, , , , , , , , , , , , , , ,NULL,4461
25/09/1999, , , , , , , , , , , , , , , ,NULL,4462
02/10/1999,Guy Manson-Bishop,Barrie-Jon Mather,Mark Tinnock, , , , , , , , , , , , ,NULL,4463
10/10/1999,Mark Tinnock, , , , , , , , , , , , , , ,NULL,4464
17/10/1999, , , , , , , , , , , , , , , ,NULL,4465
29/10/1999,Janneman Brand,Mark Tinnock, , , , , , , , , , , , , ,NULL,4466
05/11/1999,Steve Davidson, , , , , , , , , , , , , , ,NULL,4467
13/11/1999,Andy Morris,Craig Turvey, , , , , , , , , , , , , ,NULL,4468
04/12/1999, , , , , , , , , , , , , , , ,NULL,4469
26/12/1999,Janneman Brand, , , , , , , , , , , , , , ,NULL,4470
29/12/1999, , , , , , , , , , , , , , , ,NULL,4471
23/01/2000,Pete Anglesea,Jos Baxendell,Nicky Little, , , , , , , , , , , , ,NULL,4472
12/02/2000,Pete Anglesea, , , , , , , , , , , , , , ,NULL,4473
08/03/2000,Steve Hanley,Craig Turvey, , , , , , , , , , , , , ,NULL,4474
12/03/2000,Steve Hanley,Paul Knight,Alex Sanderson,Mark Tinnock, , , , , , , , , , , ,NULL,4475
25/03/2000,Mark Tinnock, , , , , , , , , , , , , , ,NULL,4476
08/04/2000,Steve Diamond,Barrie-Jon Mather,Alex Sanderson, , , , , , , , , , , , ,NULL,4477
15/04/2000, , , , , , , , , , , , , , , ,NULL,4478
22/04/2000,Steve Hanley,Steve Davidson, , , , , , , , , , , , , ,NULL,4479
30/04/2000,Matt Moore, , , , , , , , , , , , , , ,NULL,4480
06/05/2000,Barrie-Jon Mather,Barrie-Jon Mather,Matt Moore,Steve Hanley,Steve Hanley,Jim Mallinder, , , , , , , , , ,NULL,4481
14/05/2000,Steve Hanley,Guy Manson-Bishop, ,Alex Sanderson,Paul Knight,Dawie Theron,Barrie-Jon Mather, , , , , , , , ,NULL,4482
09/02/2002,Jason Robinson, , , , , , , , , , , , , , ,NULL,4505
23/02/2002,Jason Robinson,Jos Baxendale,Charlie Hodgson, , , , , , , , , , , , ,NULL,4506
09/03/2002,Vaughan Going, , , , , , , , , , , , , , ,NULL,4507
16/03/2002,Anthony Elliott,Mark Cueto,Stuart Turner, , , , , , , , , , , , ,NULL,4508
31/03/2002,Mark Cueto,Bryan Redpath, , , , , , , , , , , , , ,NULL,4509
13/04/2002,Mel Deane,Chris Jones,Jason Robinson,Martin Shaw,Martin Shaw,Martin Shaw, , , , , , , , , ,NULL,4510
19/04/2002,Pete Anglesea,Mark Cueto, , , , , , , , , , , , , ,NULL,4511
05/05/2002,Pete Anglesea,Charlie Hodgson,Jason Robinson,Chris Jones,Martin Shaw, , , , , , , , , , ,NULL,4512
08/05/2002,Mark Cueto,Mark Cueto,Anthony Elliott,Bryan Redpath, , , , , , , , , , , ,NULL,4513
12/05/2002,Jos Baxendale,Mark Cueto,Mark Cueto,Mel Deane,Charlie Hodgson,Charl Marais, , , , , , , , , ,NULL,4514
30/08/2002, , , , , , , , , , , , , , , ,NULL,4515
07/09/2002,Mark Cueto, , , , , , , , , , , , , , ,NULL,4516
13/09/2002,Chris Jones,Nick Walshe, , , , , , , , , , , , , ,NULL,4517
20/09/2002,Mark Cueto,Steve Hanley, , , , , , , , , , , , , ,NULL,4518
27/09/2002,Mark Cueto,Charlie Hodgson, , , , , , , , , , , , , ,NULL,4519
05/10/2002,Mark Cueto,Mel Deane,Steve Hanley,Chris Jones, , , , , , , , , , , ,NULL,4520
27/10/2002,Steve Hanley,Nick Walshe, , , , , , , , , , , , , ,NULL,4521
01/11/2002,Graeme Bond,Mark Cueto,Jason Robinson, , , , , , , , , , , , ,NULL,4522
10/11/2002,Graeme Bond,Steve Hanley, , , , , , , , , , , , , ,NULL,4523
15/11/2002,Vaughan Going,Steve Hanley,Steve Hanley,Dan Harris,Stuart Pinkerton, , , , , , , , , , ,NULL,4524
24/11/2002,Mark Cueto,Steve Hanley,Chris Jones,Dean Schofield, , , , , , , , , , , ,NULL,4525
29/11/2002,Mark Cueto,Steve Hanley,Steve Hanley,Stuart Pinkerton,Dean Schofield, , , , , , , , , , ,NULL,4526
29/12/2002, , , , , , , , , , , , , , , ,NULL,4527
03/01/2003,Mark Cueto,Mark Cueto,Steve Hanley,Jason Robinson,Dan Harris, , , , , , , , , , ,NULL,4528
02/02/2003,Iain Fullarton,Andy Titterrell,Steve Hanley, , , , , , , , , , , , ,NULL,4529
08/02/2003,Graeme Bond,Mark Cueto,Steve Hanley,Charlie Hodgson,Chris Jones, , , , , , , , , , ,NULL,4530
15/03/2003,Steve Hanley,Dan Harris,Jason Robinson,Jason Robinson,Andy Titterrell, , , , , , , , , , ,NULL,4531
06/04/2003,Graeme Bond,Pete Anglesea, , , , , , , , , , , , , ,NULL,4532
18/04/2003,Graeme Bond,Mark Cueto,Steve Hanley,Jason Robinson, , , , , , , , , , , ,NULL,4533
26/04/2003,Graeme Bond,Andy Titterrell, , , , , , , , , , , , , ,NULL,4534
03/05/2003, , , , , , , , , , , , , , , ,NULL,4535
10/05/2003,Jason Robinson,Jason Robinson,Dean Schofield, , , , , , , , , , , , ,NULL,4536
12/09/2003,MattáCairns,Steve Hanley,Steve Hanley,Andrew Sheridan,Stuart Turner, , , , , , , , , , ,NULL,4537
21/09/2003,Vaughan Going, , , , , , , , , , , , , , ,NULL,4538
26/09/2003, , , , , , , , , , , , , , , ,NULL,4539
04/10/2003,Graeme Bond, , , , , , , , , , , , , , ,NULL,4540
10/10/2003,Graeme Bond,MattáCairns,Penalty Try, , , , , , , , , , , , ,NULL,4541
17/10/2003,Graeme Bond,Mark Cueto,Stuart Pinkerton, , , , , , , , , , , , ,NULL,4542
25/10/2003,MattáCairns,Mark Cueto,Steve Hanley, , , , , , , , , , , , ,NULL,4543
31/10/2003,Graeme Bond,Steve Hanley, , , , , , , , , , , , , ,NULL,4544
08/11/2003,Graeme Bond,MattáCairns,Vaughan Going,Steve Hanley,Charlie Hodgson, , , , , , , , , , ,NULL,4545
21/11/2003,Mark Cueto,Chris Jones,Barry Stewart, , , , , , , , , , , , ,NULL,4546
30/11/2003,Jos Baxendale,Mark Cueto,Mark Cueto, , , , , , , , , , , , ,NULL,4547
19/12/2003, , , , , , , , , , , , , , , ,NULL,4548
27/12/2003,Chris Jones,Chris Jones,Steve Hanley,Jason Robinson, , , , , , , , , , , ,NULL,4549
04/01/2004,Chris Jones, , , , , , , , , , , , , , ,NULL,4550
06/02/2004, , , , , , , , , , , , , , , ,NULL,4551
14/02/2004,Scott Benton,Chris Mayor, , , , , , , , , , , , , ,NULL,4552
21/02/2004,Vaughan Going,Steve Hanley, , , , , , , , , , , , , ,NULL,4553
26/03/2004,Mark Cueto,Steve Hanley,Steve Hanley,Steve Hanley,Mike Hercus, , , , , , , , , , ,NULL,4554
03/04/2004,Charlie Hodgson,Andrew Sheridan, , , , , , , , , , , , , ,NULL,4555
23/04/2004,Scott Benton,Mark Cueto,Mark Cueto,Mark Cueto,Steve Hanley,Charlie Hodgson, , , , , , , , , ,NULL,4556
02/05/2004,Steve Hanley,Steve Hanley, , , , , , , , , , , , , ,NULL,4557
08/05/2004,Mark Cueto,Charlie Hodgson,Chris Jones, , , , , , , , , , , , ,NULL,4558
05/09/2004,Mark Cueto,Bryan Redpath,Jason Robinson, , , , , , , , , , , , ,NULL,4559
11/09/2004,Steve Hanley,Steve Hanley,Robert Todd, , , , , , , , , , , , ,NULL,4560
17/09/2004,Mark Cueto,Mark Cueto, , , , , , , , , , , , , ,NULL,4561
24/09/2004,Mark Cueto,Stuart Turner,Chris Jones,Chris Jones,Chris Jones,Magnus Lund,Bryan Redpath,Jason Robinson, , , , , , , ,NULL,4562
03/10/2004,Andy Titterell, , , , , , , , , , , , , , ,NULL,4563
08/10/2004,Sebastien Bruno, , , , , , , , , , , , , , ,NULL,4564
16/10/2004,Mark Cueto,Andrew Sheridan, , , , , , , , , , , , , ,NULL,4565
05/11/2004,Sebastien Bruno,Charlie Hodgson,Charlie Hodgson,Dean Schofield,Andrew Sheridan, , , , , , , , , , ,NULL,4566
13/11/2004,Magnus Lund, , , , , , , , , , , , , , ,NULL,4567
19/11/2004,Robert Todd, , , , , , , , , , , , , , ,NULL,4568
26/11/2004,Robert Todd, , , , , , , , , , , , , , ,NULL,4569
27/12/2004,John Carter,Mark Cueto,Chris Mayor, , , , , , , , , , , , ,NULL,4570
02/01/2005,Jason Robinson,Jason Robinson, , , , , , , , , , , , , ,NULL,4571
29/01/2005,Steve Hanley,Steve Hanley,Magnus Lund,Stuart Turner, , , , , , , , , , , ,NULL,4572
06/02/2005,Andrew Sheridan, , , , , , , , , , , , , , ,NULL,4573
18/02/2005, , , , , , , , , , , , , , , ,NULL,4574
25/02/2005,Johnny Roddam, , , , , , , , , , , , , , ,NULL,4575
13/03/2005,Dean Schofield, , , , , , , , , , , , , , ,NULL,4576
25/03/2005,Sebastien Chabal,Steve Hanley,Steve Hanley, , , , , , , , , , , , ,NULL,4577
09/04/2005,Mark Cueto,Mark Cueto, , , , , , , , , , , , , ,NULL,4578
15/04/2005,John Carter,Mark Cueto,Steve Hanley,Steve Hanley, , , , , , , , , , , ,NULL,4579
30/04/2005,Mark Cueto,Steve Hanley, , , , , , , , , , , , , ,NULL,4580
07/05/2005,Sebastien Chabal,Mark Cueto,Jason White, , , , , , , , , , , , ,NULL,4581
03/09/2006,Sebastien Bruno,Charlie Hodgson, , , , , , , , , , , , , ,NULL,4582
09/09/2006,Mark Cueto,Magnus Lund, , , , , , , , , , , , , ,NULL,4583
15/09/2006,Mark Cueto,Chris Bell,Jason White, , , , , , , , , , , , ,NULL,4584
22/09/2006,Juan Martin Fernandez Lobbe,Mark Cueto,Mark Taylor, , , , , , , , , , , , ,NULL,4585
15/10/2006,Oriol Ripol Fortuny,Oriol Ripol Fortuny,Mark Cueto,Mark Taylor, , , , , , , , , , , ,NULL,4586
03/11/2006, , , , , , , , , , , , , , , ,NULL,4587
10/11/2006, , , , , , , , , , , , , , , ,NULL,4588
17/11/2006, , , , , , , , , , , , , , , ,NULL,4589
24/11/2006,Magnus Lund, , , , , , , , , , , , , , ,NULL,4590
22/12/2006,Chris Bell, , , , , , , , , , , , , , ,NULL,4591
26/12/2006,Sebastien Bruno,Chris Bell,Chris Mayor,Chris Mayor, , , , , , , , , , , ,NULL,4592
01/01/2007, , , , , , , , , , , , , , , ,NULL,4593
06/01/2007,Chris Bell,Sebastien Bruno, , , , , , , , , , , , , ,NULL,4594
27/01/2007,Ben Foden,Chris Mayor,Dean Schofield, , , , , , , , , , , , ,NULL,4595
18/02/2007,Mark Cueto,Chris Bell, , , , , , , , , , , , , ,NULL,4596
23/02/2007, , , , , , , , , , , , , , , ,NULL,4597
04/03/2007, , , , , , , , , , , , , , , ,NULL,4598
09/03/2007, , , , , , , , , , , , , , , ,NULL,4599
17/03/2007,Chris Bell,Oriol Ripol Fortuny, , , , , , , , , , , , , ,NULL,4600
06/04/2007,Penalty Try, , , , , , , , , , , , , , ,NULL,4601
13/04/2007,Selorm Kuadey,Juan Martin Fernandez Lobbe,Jason Robinson, , , , , , , , , , , , ,NULL,4602
28/04/2007, , , , , , , , , , , , , , , ,NULL,4603
23/09/2007,Ben Foden, , , , , , , , , , , , , , ,NULL,4605
29/09/2007,Oriol Ripol Fortuny, , , , , , , , , , , , , , ,NULL,4606
05/10/2007,Magnus Lund, , , , , , , , , , , , , , ,NULL,4607
13/10/2007,Benoit Bourrust,Oriol Ripol Fortuny, , , , , , , , , , , , , ,NULL,4608
19/10/2007,Ben Foden,Rory Lamont,Lee Thomas,Richard Wigglesworth, , , , , , , , , , , ,NULL,4609
23/11/2007,Mark Cueto,Ben Foden,Rory Lamont,Dean Schofield, , , , , , , , , , , ,NULL,4610
23/12/2007,Rory Lamont, , , , , , , , , , , , , , ,NULL,4611
30/12/2007,Chris Mayor,Oriol Ripol Fortuny,Lee Thomas,Lee Thomas, , , , , , , , , , , ,NULL,4612
06/01/2008, , , , , , , , , , , , , , , ,NULL,4613
25/01/2008,Oriol Ripol Fortuny,Chris Jones, , , , , , , , , , , , , ,NULL,4614
15/02/2008,Luke McAlister,Chris Bell, , , , , , , , , , , , , ,NULL,4615
23/02/2008,Sebastien Chabal, , , , , , , , , , , , , , ,NULL,4616
29/02/2008, , , , , , , , , , , , , , , ,NULL,4617
09/03/2008,Oriol Ripol Fortuny,Sebastien Chabal, , , , , , , , , , , , , ,NULL,4618
14/03/2008,Ben Foden, , , , , , , , , , , , , , ,NULL,4619
28/03/2008,Oriol Ripol Fortuny, , , , , , , , , , , , , , ,NULL,4620
11/04/2008,Chris Jones,Ben Foden,Jason White, , , , , , , , , , , , ,NULL,4621
15/04/2008,Ben Foden, , , , , , , , , , , , , , ,NULL,4622
20/04/2008,Chris Bell,Chris Bell,Mike Hills,Will Cliff,Ignacio Fernandez Lobbe,Ignacio Fernandez Lobbe,Ben Foden,Selorm Kuadey, , , , , , , ,NULL,4623
04/05/2008,Andy Vilk,Richard Wigglesworth, , , , , , , , , , , , , ,NULL,4624
10/05/2008,Chris Bell, , , , , , , , , , , , , , ,NULL,4625
02/09/2001,Mark Cueto,Steve Hanley,Dan Harris,Stuart Pinkerton, , , , , , , , , , , ,NULL,4626
08/09/2001,Pete Anglesea,Adam Black,Steve Hanley,Charlie Hodgson,Jason Robinson, , , , , , , , , , ,NULL,4627
16/09/2001,Mark Cueto,Dan Harris,Jason Robinson, , , , , , , , , , , , ,NULL,4628
22/09/2001,Jason Robinson,Jos Baxendale, , , , , , , , , , , , , ,NULL,4629
13/10/2001,Mark Cueto,Mark Cueto, , , , , , , , , , , , , ,NULL,4630
20/10/2001,Pete Anglesea,Mark Cueto,Steve Hanley,Charlie Hodgson, , , , , , , , , , , ,NULL,4631
11/11/2001,Pete Anglesea,Vaughan Going,Steve Hanley,Martin Shaw, , , , , , , , , , , ,NULL,4632
17/11/2001, , , , , , , , , , , , , , , ,NULL,4633
