PlayerID,Player,DateOfBirth,PlaceOfBirth,DateSigned,OldClub
1409,Diogo Ferreira,17/10/1995,Haas,01/01/2017,100
1410,Cal Ford,03/07/2000,Crewe,01/01/2017,100
1411,Tom Bristow,16/08/1991,Hong Kong,09/10/2018,28
1412,Jean Luc Du Preez,05/08/1995,Durban,15/11/2018,105
1413,Chris Ashton,29/03/1987,Wigan,03/07/2018,51
1414,Rob Du Preez,30/07/1993,Durban,29/10/2018,105
1415,Joe Jones,24/06/1995,Mold,12/03/2018,31
1416,Valery Morozov,21/09/1994,Moscow,12/12/2018,92
1417,Rohan Janse Van Rensburg,11/09/1994,Welkom,25/01/2018,104
1418,James Phillips,27/09/1989,Bristol,15/03/2018,5
1419,Gus Warr,24/09/1999,Manchester,18/10/2018,100
1420,Ewan Ashman,03/04/2000,Toronto,01/11/2018,100
1421,Tom Roebuck,07/01/2001,Inverness,30/06/2018,100
1422,Joe Carpenter,02/04/1998,Wolverhampton,19/11/2018,9
1423,Nathan Pope,20/08/1997,Douglas,12/01/2018,100
1424,Tom Curtis,01/07/2001,Wythenshawe,27/01/2018,100
1425,Jake Cooper-Woolley,18/11/1989,Reigate,01/07/2019,3
1426,Rob du Preez,30/07/1993,Durban,01/07/2019,105
1427,Akker van der Merwe,17/06/1991,Vanderbijlpark,01/07/2019,105
1428,Lood de Jager,07/12/1992,Alberton,01/07/2019,112
1429,Coenie Oosthuizen,22/03/1989,Potchefstroom,01/07/2019,105
1430,Dan du Preez,05/08/1995,Durban,01/07/2019,105
1431,Jean-Luc du Preez,05/08/1995,Durban,01/07/2019,105
1432,Simon Hammersley,20/03/1993,Hull,01/07/2019,8
1433,Mark Wilson,08/10/1989,Kendal,01/07/2019,8
1434,James Williams,30/11/2001,Hartbury,30/07/2019,10
1435,Embrose Papier,27/04/1997,Clanwilliam,17/09/2019,112
1436,Ben Carlile,05/10/1999,Cottingham,15/01/2020,9
1437,Manu Tuilagi,18/05/1991,Fogapoa,13/07/2020,4
1438,Sam Hill,01/07/1993,Exeter,13/03/2020,13
1439,Terry Sigley,12/10/1978,Birmingham,03/06/2007,5
1440,Mark Tinnock,15/07/1968,Christchurch,03/06/2007,121
1441,Duncan Bell,01/10/1974,Kings Lynn,03/06/1997,67
1442,Simon Mills,28/10/1978,Pembury,03/06/1998,100
1444,Dylan O'Grady,19/11/1971,Manchester,03/06/1997,100
1445,David Rees,15/10/1974,Kingston-upon-Thames,03/06/1997,100
1446,Rafi Quirke,18/08/2001,Manchester,03/06/2019,100
1447,Murray Driver,05/04/1972,Hamilton,03/06/1997,100
1448,Mike Armstrong,27/06/1971,Carlisle,03/06/1998,100
1449,James Hoyle,04/03/1985,Weymouth,03/06/2003,100
1450,Jan Machacek,15/02/1972,Prague,03/06/1998,21
1451,Shane Howarth,08/07/1968,Auckland,03/06/1997,39
