DateOfMatch,SinBin1,SinBin2,SinBin3,SinBin4,SinBin5,MatchesID,SinBinsID
28/04/2006,NULL,NULL,NULL,NULL,NULL,NULL,1196
06/05/2006,Jason Robinson,NULL,NULL,NULL,NULL,NULL,1197
14/05/2006,NULL,NULL,NULL,NULL,NULL,NULL,1198
27/05/2006,NULL,NULL,NULL,NULL,NULL,NULL,1199
03/09/2006,Chris Jones,NULL,NULL,NULL,NULL,NULL,1200
09/09/2006,Magnus Lund,NULL,NULL,NULL,NULL,NULL,1201
15/09/2006,Chris Jones,NULL,NULL,NULL,NULL,NULL,1202
22/09/2006,Richard Wigglesworth,NULL,NULL,NULL,NULL,NULL,1203
15/10/2006,NULL,NULL,NULL,NULL,NULL,NULL,1204
03/11/2006,NULL,NULL,NULL,NULL,NULL,NULL,1205
10/11/2006,NULL,NULL,NULL,NULL,NULL,NULL,1206
17/11/2006,NULL,NULL,NULL,NULL,NULL,NULL,1207
24/11/2006,NULL,NULL,NULL,NULL,NULL,NULL,1208
22/12/2006,Sebastien Chabal,NULL,NULL,NULL,NULL,NULL,1209
26/12/2006,Sebastien Bruno,NULL,NULL,NULL,NULL,NULL,1210
01/01/2007,Sebastien Bruno,NULL,NULL,NULL,NULL,NULL,1211
06/01/2007,Juan Martin Fernandez Lobbe,NULL,NULL,NULL,NULL,NULL,1212
27/01/2007,NULL,NULL,NULL,NULL,NULL,NULL,1213
18/02/2007,NULL,NULL,NULL,NULL,NULL,NULL,1214
23/02/2007,Dean Schofield,NULL,NULL,NULL,NULL,NULL,1215
04/03/2007,NULL,NULL,NULL,NULL,NULL,NULL,1216
09/03/2007,NULL,NULL,NULL,NULL,NULL,NULL,1217
17/03/2007,Andrew Sheridan,NULL,NULL,NULL,NULL,NULL,1218
06/04/2007,NULL,NULL,NULL,NULL,NULL,NULL,1219
13/04/2007,NULL,NULL,NULL,NULL,NULL,NULL,1220
28/04/2007,NULL,NULL,NULL,NULL,NULL,NULL,1221
16/09/2007,Chris Jones,NULL,NULL,NULL,NULL,NULL,1222
23/09/2007,NULL,NULL,NULL,NULL,NULL,NULL,1223
